Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53287484,"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,"Meyer, Stephenie",,"=""031670704X""","=""9780316707046""",3,3.73,"Little, Brown Books for Young Readers",Hardcover,756,2020,2020,2021/02/06,2021/01/31,,,read,,,,1,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",3,4.23,MTV Books/Pocket Books,Paperback,213,1999,1999,,2021/02/06,,,read,,,,1,0
7937462,"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",Stephenie Meyer,"Meyer, Stephenie",,"=""031612558X""","=""9780316125581""",3,3.52,"Little, Brown and Company",Hardcover,178,2010,2009,2021/01/31,2021/01/31,,,read,,,,1,0
1162543,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"Meyer, Stephenie",,"=""031606792X""","=""9780316067928""",1,3.74,"Little, Brown and Company",Hardcover,756,2008,2008,2021/01/28,2021/01/24,,,read,,,,1,0
428263,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316160202""","=""9780316160209""",2,3.73,"Little, Brown and Company",Hardcover,629,2007,2007,2021/01/23,2021/01/22,,,read,,,,1,0
49041,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,"Meyer, Stephenie",Sylke Hachmeister,"=""""","=""""",2,3.60,"Little, Brown and Company",Hardcover,563,2006,2006,2021/01/18,2021/01/15,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",2,3.66,"Little, Brown and Company",Paperback,498,2006,2005,2021/01/13,2021/01/03,,,read,,,,1,0
332613,One Flew Over the Cuckoo’s Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",0,4.20,Signet,Mass Market Paperback,325,1963,1962,,2020/12/01,to-read,to-read (#19),to-read,,,,0,0
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""140003471X""","=""9781400034710""",0,3.97,Vintage,Paperback,120,2003,1981,,2020/12/01,to-read,to-read (#18),to-read,,,,0,0
2075382,El llano en llamas,Juan Rulfo,"Rulfo, Juan",,"=""9500718030""","=""9789500718035""",0,4.20,Sudamericana,Paperback,210,2000,1953,,2020/12/01,to-read,to-read (#17),to-read,,,,0,0
73716,Como agua para chocolate,Laura Esquivel,"Esquivel, Laura",,"=""0385721234""","=""9780385721233""",0,3.95,Vintage Español,Paperback,248,2001,1989,,2020/12/01,to-read,to-read (#16),to-read,,,,0,0
38787,Pedro Páramo,Juan Rulfo,"Rulfo, Juan","Susan Sontag, Margaret Sayers Peden","=""0802133908""","=""9780802133908""",0,4.05,Grove Press,Paperback,124,1994,1955,,2020/12/01,to-read,to-read (#15),to-read,,,,0,0
228296,"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,"Levin, Ira",,"=""0451194004""","=""9780451194008""",4,4.04,Signet,Hardcover,308,1997,1967,2020/12/01,2020/01/08,,,read,,,,1,0
15762322,"20,000 Leagues Under the Sea and other Classic Novels",Jules Verne,"Verne, Jules",,"=""1435141822""","=""9781435141827""",3,3.88,Fall River Press,Hardcover,739,2012,2012,2020/11/16,2020/11/17,,,read,,,,1,0
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.23,Del Rey,Paperback,193,2007,1979,,2020/11/05,to-read,to-read (#14),to-read,,,,0,0
31700489,"El laberinto de los espíritus (El cementerio de los libros olvidados, #4)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",,"=""8408163388""","=""9788408163381""",0,4.53,Planeta,Hardcover,928,2016,2016,,2020/01/08,to-read,to-read (#13),to-read,,,,0,0
13623012,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",,"=""0062206281""","=""9780062206282""",0,4.13,Harper,Hardcover,278,2012,2011,,2020/01/08,to-read,to-read (#12),to-read,,,,0,0
4912857,"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,"=""0385528701""","=""9780385528702""",0,4.00,Doubleday,Hardcover,531,2009,2008,,2020/01/08,to-read,to-read (#11),to-read,,,,0,0
11298,"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""037571894X""","=""9780375718946""",0,3.94,Knopf Doubleday Publishing Group,Paperback,353,2002,1982,,2020/01/08,to-read,to-read (#10),to-read,,,,0,0
591978,"Pinball, 1973 (The Rat, #2)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""4061860127""","=""9784061860124""",0,3.51,Kodansha International Ltd.,Paperback,215,1980,1980,,2020/01/08,to-read,to-read (#9),to-read,,,,0,0
226973,"Hear the Wind Sing (The Rat, #1)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""4061860267""","=""9784061860261""",0,3.57,Kodansha International Ltd.,Paperback,130,1979,1979,,2020/01/08,to-read,to-read (#8),to-read,,,,0,0
11566,The Green Mile,Stephen         King,"King, Stephen",,"=""0451933028""","=""9780451933027""",0,4.48,Penguin Signet,Paperback,592,1996,1996,,2020/01/08,to-read,to-read (#7),to-read,,,,0,0
830502,It,Stephen         King,"King, Stephen",,"=""0450411435""","=""9780450411434""",0,4.24,New English Library,Paperback,1116,1987,1986,,2020/01/08,to-read,to-read (#6),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.36,Vintage,Paperback,512,2015,2011,,2020/01/08,to-read,to-read (#5),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,,2020/01/08,to-read,to-read (#4),to-read,,,,0,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.16,Signet Classics,Mass Market Paperback,449,2004,1868,,2020/01/08,to-read,to-read (#3),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.69,Penguin Books ,Paperback,182,1999,1954,,2020/01/08,to-read,to-read (#2),to-read,,,,0,0
25482705,"Choque de Reyes (Canción de Hielo y Fuego, #2)",George R.R. Martin,"Martin, George R.R.",,"=""9563251962""","=""9786073128841""",5,4.42,Debolsillo,Paperback,927,2015,1998,2020/01/08,2019/05/21,2019,2019 (#3),read,,,,1,0
107159,Batman: Gotham by Gaslight,Brian Augustyn,"Augustyn, Brian","Mike Mignola, P. Craig Russell, Eduardo Barreto, Robert Bloch","=""1401211534""","=""9781401211530""",3,3.87,DC Comics,Paperback,112,2014,1989,,2019/12/03,,,read,,,,1,0
25588698,"Juego de tronos (Canción de Hielo y Fuego, #1)",George R.R. Martin,"Martin, George R.R.",,"=""6073128835""","=""9786073128834""",5,4.44,Debolsillo,Paperback,800,2015,1996,,2018/10/05,2019,2019 (#2),read,,,,2,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",0,3.89,Norton,Paperback,464,2002,1847,,2019/04/03,to-read,to-read (#1),to-read,,,,0,0
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,"=""""","=""""",5,4.30,Penguin Books,Paperback,487,2005,2001,2019/02/24,2019/02/24,2019,2019 (#1),read,,,,1,0
608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",Peter Ackroyd,"=""""","=""""",5,3.89,Penguin Books,Paperback,129,2001,1890,,2018/10/05,,,read,,,,1,0
10374,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""""","=""""",4,4.12,Vintage,Paperback,400,2003,1985,,2018/10/05,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.50,Scholastic Inc.,Paperback,912,2004,2003,,2018/10/05,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,,2018/10/05,,,read,,,,0,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, Jim Kay","=""""","=""""",5,4.57,Scholastic,Paperback,734,2002,2000,,2018/10/05,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2018/10/05,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2018/10/05,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2018/10/05,,,read,,,,1,0
40856092,"Sé lo que estás pensando (Dave Gurney, #1)",John Verdon,"Verdon, John",Javier Guerrero,"=""8499186416""","=""9788499186412""",3,3.88,Roca Editorial,Paperback,432,2013,2010,,2018/10/05,,,read,,,,1,0
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""""","=""""",5,4.13,Orbit,Kindle Edition,400,2008,1993,,2018/10/05,,,read,,,,1,0
13507752,Edén interrumpido,Carlos Sisí,"Sisí, Carlos",,"=""""","=""9788448005283""",4,3.76,Scyla eBooks,ebook,85,2012,,,2018/10/05,,,read,,,,1,0
7338901,"Los caminantes (Los caminantes, #1)",Carlos Sisí,"Sisí, Carlos",,"=""""","=""9788493599393""",3,3.85,Dolmen,Paperback,272,2009,2009,,2018/10/05,,,read,,,,1,0
10614,Misery,Stephen         King,"King, Stephen",,"=""0450417395""","=""9780450417399""",4,4.23,New English Library,Paperback,370,1988,1987,,2018/10/05,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",5,3.93,Scribner,Paperback,180,1925,1925,,2018/10/05,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2018/10/05,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2018/10/05,,,read,,,,1,0
